id	location	interpretation
en_1673	holey	porous / holy
en_1676	shape	form / condition
en_1682	esteem	admiration;regard;respect / steam
en_1688	reception	party / snatch;catch;grab;snap
en_1689	faculties	mental faculty;module;faculty / staff;faculty
en_1690	heart	mettle;nerve;spunk / ticker;pump
en_1695	pupils	school-age child;student;educatee;schoolchild;pupil / pupil
en_1699	cast	dramatis personae;cast of characters / casting
en_1700	phased	phase;phase angle / faze;enervate;unnerve;unsettle
en_1713	chickened	bow out;back off;pull out;chicken out;back down / chicken;Gallus gallus
en_1725	dyed	dye / pass away;choke;die;perish;croak;pass;conk;go;kick the bucket;drop dead;exit;snuff it;expire;cash in one's chips;buy the farm;give-up the ghost;decease;pop off
en_1727	muttons	mutton;mouton / mitten
en_1729	snickers	snigger;snicker;snort / proper name
en_1730	insinuated	adumbrate;insinuate;intimate / sinning;sin
en_1735	shouldering	shoulder / soldier
en_1737	Son	Word;Logos / sunlight;sunshine;sun
en_1738	speakers	talker;utterer;verbalizer;speaker;verbaliser / loudspeaker system;loudspeaker;speaker;speaker unit;speaker system
en_1743	vainly	in vain / vane;weathervane;weather vane;wind vane
en_1749	slayed	murder;polish off;hit;dispatch;bump off;slay;off;remove / tell;say;state
en_1754	principals	principal;head;school principal;head teacher / principle;precept
en_1755	plaque	speckle;patch;dapple;maculation;spot;fleck / memorial tablet;brass
en_1761	zest	orange zest / gusto;zestfulness;relish
en_1769	bidder	applier;applicant / bitter
en_1773	grouper	saltwater fish / aggroup;group
en_1782	paste	library paste;glue / pay
en_1785	steep	unconscionable;extortionate;usurious;outrageous;exorbitant / infuse
en_1795	crane	lifting device / wading bird;wader
en_1797	energy	free energy / get-up-and-go;push
en_1798	axes	axis of rotation;axis / ax;axe
en_1803	Matt	proper name / mat
en_1807	charges	charge;bear down / charge;bill
en_1812	fashion	mode;style;manner;way / trend;style;vogue
en_1815	rose	rosiness / uprise;move up;arise;come up;lift;rise;go up
en_1827	sheep	bovid / gimcrack;loud;tawdry;brassy;flashy;trashy;garish;gaudy;cheap;tacky;meretricious;tatty;flash
en_1830	reed	vibrating reed / read
en_1832	drip	dribble;trickle / lip
en_1834	feat	effort;exploit / human foot;foot;pes
en_1837	fire	open fire;discharge / burn;ignite;light;burn down
en_1838	plot	story / patch;plot of land;plot of ground
en_1841	flaming	blooming;blinking;bally;fucking;crashing;bloody / flame
en_1843	stationery	letter paper / stationary
en_1845	support	help;assist;assistance;aid / supporting
en_1850	Philately	stamp collection;stamp collecting / flattery
en_1851	buoyant	floaty / perky;chirpy
en_1859	slip	shift;teddy;chemise;shimmy / elusion;eluding
en_1860	chanted	chant;tone;intone;cantillate;intonate / proper name
en_1867	capers	caper / play;gambol;romp;frolic;caper
en_1879	kilt	skirt / kill
en_1886	line	telephone circuit;telephone line;phone line;subscriber line / artifact;artefact
en_1888	stacked	sonsie;sonsy;full-bosomed;bosomy;buxom;voluptuous;curvy;curvaceous;busty;well-endowed / stack;pile;heap
en_1891	Derek	proper name / derrick
en_1896	point	stage;level;degree / show;indicate;designate
en_1898	present	nowadays / gift
en_1904	platter	flatware / matter
en_1906	projected	project / project
en_1911	rut	groove;channel / groove
en_1919	trailer	preview;prevue / house trailer
en_1921	bone	os / get up;cram;drum;mug up;swot up;grind away;bone up;swot
en_1922	scratch	from scratch / itch;rub
en_1929	knows	cognize;know;cognise;experience;live / nose;olfactory organ
en_1935	weigh	librate / whey;milk whey
en_1936	seamen	seaman;tar;mariner;sea dog;seafarer;Jack-tar;gob;Jack;old salt / semen;seminal fluid;seed;cum;come;ejaculate
en_1939	grieved	sorrow;grieve / jambeau;greave
en_1941	pop	pop music / split;burst;break open
en_1942	gluten	protein / gourmand;glutton;gourmandizer;trencherman
en_1945	tie	necktie / par;equivalence;equation;equality
en_1950	Hans	proper name / manus;paw;hand;mitt
en_1953	bored	blase / board
en_1961	bountifully	bounteously;plentifully;plenteously / H.M.S. Bounty;Bounty
en_1962	kernel	grain;caryopsis / colonel
en_1963	mist	fog / misfire;miss
en_1967	census	nose count;nosecount / sensory faculty;sensation;sentience;sense;sentiency
en_1968	bolder	bold / boulder;bowlder
en_1972	flash	show / twinkling;blink of an eye;heartbeat;trice;wink;split second;New York minute;jiffy;instant
en_1974	metal	metallic element / mettle;nerve;spunk;heart
en_1977	stage	phase / platform
en_1983	nagged	hack;nag;jade;plug / nag;peck;hen-peck
en_1986	bridle	headgear / bridal
en_1987	Sandy	sandlike;arenaceous / proper name
en_1989	striking	spectacular;dramatic / hit;impinge on;strike;run into;collide with
en_1990	connections	joining;link;connection;connexion / link;connection;connexion;connectedness
en_1993	missing	lose;miss / miss
en_1998	uprooted	deracinate;uproot / root out;deracinate;uproot;extirpate
en_1999	reservation	booking / qualification
en_2007	putting	put down;bring down;land / demean;take down;put down;disgrace;degrade
en_2009	wine	vino / wherefore;why
en_2010	Honor	honour;respect;observe;abide by / honour
en_2021	align	adjust;aline;line up / array
en_2022	change	vary;alter / hard cash;cash;hard currency;coin
en_2026	praise	worship / eld;age
en_2029	net	meshing;meshwork;mesh;network / net profit;profits;earnings;lucre;net income;profit
en_2040	Foliage	leafage;leaf / Samuel Taylor Coleridge;Coleridge
en_2042	fallout	radioactive dust / side effect
en_2043	moved	touched;stirred;affected / move
en_2047	fabrication	prevarication;fiction;fable;lying / material;fabric;textile;cloth
en_2048	data	information / date;escort
en_2049	charging	charge;bear down / charge
en_2052	scratch	from scratch / itch;rub
en_2055	candidly	frankly;honestly / proper name
en_2069	serve	move;go / dish up;dish out;dish;serve up
en_2071	Prince	proper name / print;mark
en_2073	painfully	sorely / window glass;pane;pane of glass
en_2075	barked	bark / Johann Sebastian Bach;Bach
en_2078	wrenching	spanner;wrench / racking
en_2079	boos	hiss;raspberry;boo;Bronx cheer;bird;razz;hoot;snort;razzing / hard liquor;booze;John Barleycorn;hard drink;spirits;liquor;strong drink
en_2087	crested	crest / proper name
en_2096	fortified	fortify;strengthen;beef up / fortify;lace;spike
en_2105	tolled	toll / tell off;brush down
en_2106	dragon	firedrake / drag on;drag;drag out
en_2108	persistence	pertinacity;doggedness;perseveration;persistency;tenacity;tenaciousness;perseverance / opposition;resistance
en_2109	nailed	ace;nail;sail through;breeze through;pass with flying colors;sweep through / nail
en_2113	mussel	shellfish;bivalve;lamellibranch;pelecypod / muscle;musculus
en_2117	august	Aug / revered;venerable
en_2132	mistified	perplex;mystify;dumbfound;pose;vex;bewilder;amaze;gravel;flummox;puzzle;get;beat;baffle;stick;nonplus;stupefy / mist over;mist
en_2136	blast	explosion;blowup;detonation / good time
en_2144	broke	recrudesce;erupt;break out / break;break out;break away
en_2150	engagingly	winsomely / betroth;engage;affiance;plight
en_2151	react	respond / change state;turn
en_2152	fillings	filling / feeling
en_2154	lot	piece of ground;parcel;tract;parcel of land;piece of land / destiny;circumstances;fortune;fate;luck;portion
en_2163	Call	be known as;know as;name / send for;phone;ring;telephone;call up
en_2165	dye	colour;color;discolour;discolor / die
en_2171	impression	notion;feeling;belief;opinion / stamp
en_2175	thick	stocky;compact;heavyset;thickset / disgusted;nauseous;sick of;queasy;tired of;ill;sick;nauseated;fed up;sickish
en_2176	bellowed	bellow;bawl / bellows
en_2186	frank	Sinatra;Francis Albert Sinatra;Frank Sinatra / plainspoken;straight-from-the-shoulder;outspoken;candid;blunt;forthright;point-blank;free-spoken
en_2188	wee	puddle;wee-wee;piddle;pee-pee;urinate;spend a penny;piss;pee;pass water;take a leak;micturate;relieve oneself;make water;make / teeny-weeny;teensy;weensy;bitty;teensy-weensy;itty-bitty;bittie;itsy-bitsy;teeny;weeny;teentsy
en_2195	still	distillery / however;even so;nevertheless;all the same;notwithstanding;yet;nonetheless;at the same time;withal
en_2197	sail	canvas;sheet;canvass / sale;sales event;cut-rate sale
en_2198	hart	stag / ticker;pump;heart
en_2201	pest	gadfly;pesterer;blighter;cuss / best
en_2202	take	get hold of / take in;have;consume;ingest
en_2205	stock	inventory / broth
en_2206	connections	connection / connector;connection;connexion;connective;connecter
en_2208	son	Word;Logos / sun;Sun
en_2210	omen	prognostic;prognostication;presage;prodigy;portent / homing
en_2221	pointless	unpointed / otiose;senseless;wasted;superfluous;purposeless
en_2224	hull	construction;structure / blaze;hell
en_2226	bombshell	entertainer / bomb
en_2228	Manila	manilla paper;manila paper;manilla / capital of the Philippines
en_2234	high	heights / elation
en_2237	story	level;floor;storey / fiction
en_2238	peek	peep / elevation;tiptop;top;meridian;pinnacle;acme;superlative;peak;summit;height
en_2240	throne	chair of state / throw;thrust
en_2243	waist	waistline / waste;waste matter;waste product;waste material
en_2245	booked	book / volume;book
en_2246	panes	window glass;pane;pane of glass / strain;striving;nisus;pains
en_2250	hit	come to;strike / effort;exploit;feat
en_2255	grime	grease;grunge;filth;dirt;soil;stain / crime
en_2257	bars	bar;saloon;taproom;ginmill;barroom / bar
en_2261	sage	mentor;wise man / age
en_2271	charge	pay / provide;supply;render;furnish
en_2274	song	for a song;at a low price;for a bargain price / vocal
en_2284	Harold	proper name / herald;trumpeter
en_2285	strain	stress / var.;form;variant
en_2287	Fair	fair deal;just;square deal / funfair;carnival
en_2294	punctually	on time / puncture
en_2297	Sirius	Canicula;Dog Star;Sothis / serious;sober;unplayful
en_2299	stand	stand up / be
en_2300	chops	chop / chop
en_2304	quarters	living quarters / quarter
en_2308	granite	batholith;batholite;plutonic rock;pluton / given;granted
en_2314	entranced	captivated;delighted;enthralled;charmed;beguiled / entry;entering;ingress;incoming;entryway;entree;entrance;entranceway
en_2317	pipal	sacred fig;Ficus religiosa;bo tree;pipul;peepul;pipal tree / citizenry;people
en_2319	galleon	sailing vessel;sailing ship / gal;congius;gallon;Imperial gallon
en_2339	gas	petrol;gasolene;gasoline / flatulency;flatulence
en_2341	unravelled	unpick;unknot;unravel;untangle;unscramble / unravel;ravel;ravel out
en_2344	Sundays	Lord's Day;Sunday;Dominicus;Sun / sundae;ice-cream sundae
en_2346	octave	musical octave / active
en_2349	stuff	kernel;essence;substance;center;nitty-gritty;centre;sum;heart;quality;marrow;core;heart and soul;gist;inwardness;meat;pith;information;nub;info / material
en_2350	presence	front / present
en_2358	Friesian	proper name / freeze
en_2360	keep	maintain;continue;retain;keep on;hold / store
en_2364	pine	true pine;pine tree / waste;languish;pine away
en_2365	mutter	croak;murmur;grumble;gnarl / mother;female parent
en_2374	stave	lag / debar;forefend;obviate;stave off;forfend;deflect;fend off;head off;ward off;avoid;avert
en_2375	hoes	hoe / hosepipe;hose
en_2377	figures	figure;shape;soma;anatomy;physique;human body;chassis;form;build;bod;physical body;material body;flesh;frame / figure;digit
en_2389	scotch	Scotch malt whiskey;malt whisky;malt whiskey;Scotch whisky;Scotch malt whisky;Scotch whiskey / queer;frustrate;thwart;cross;bilk;baffle;spoil;foil
en_2391	bouncing	bounce back;get well;get over / spring;rebound;recoil;bounce;bound;ricochet;take a hop;reverberate;resile
en_2392	tracks	rails;rail;runway;track / trail;track;lead
en_2393	pin	bowling pin / fastener;holdfast;fixing;fastening
en_2395	itching	itch / itch;spoil
en_2399	ante	stake;bet;wager;stakes / aunty;aunt;auntie
en_2405	humerus	arm bone / humorous;humourous
en_2408	Ham	jambon;gammon / proper name
en_2411	red	redness / loss;red ink
en_2417	sole	undersurface;underside;bottom / psyche;soul
en_2418	cooked	prepare;fix;cook;ready;make / falsify;cook;fudge;wangle;misrepresent;fake;manipulate
en_2425	see	comprehend;perceive / see through
en_2428	comet	estraterrestrial body;extraterrestrial object / input;remark;comment
en_2431	snap	tear;bust;rupture / snarl
en_2441	pitch	delivery / sales pitch;sales talk
en_2443	astronomical	astronomic / astronomic;galactic
en_2452	hardest	difficult;hard / hard
en_2453	horse	Equus caballus / husky;hoarse;gruff
en_2455	loathe	execrate;abominate;abhor / loaf;loaf of bread
en_2457	fare	transportation / fair;just
en_2460	rashly	headlong / skin rash;rash;roseola;efflorescence
en_2463	blew	fleet;pass off;fade;pass;evanesce;blow over / blow
en_2471	grip	clasp;grasp;clutch;clench;clutches;hold / grasp
en_2473	sweat	perspiration;sudor / stew;fret;swither;lather
en_2474	growing	grow / grow
en_2478	knowingly	wittingly / no
en_2483	flippantly	airily / flip over;turn over;flip
en_2485	sovereignty	reign / seventy;70;LXX
en_2487	cutting	cut / hack;cut
en_2491	friezing	frieze / freeze;frost
en_2498	relative	relation / proportional
en_2499	fill	fill up;make full / feel;experience
en_2502	hole	opening / whole
en_2503	truss	framework;frame / trust;confidence;trustfulness;faith;trustingness
en_2504	root	beginning;origin;source;rootage / number
en_2506	degrees	degree / stage;level;degree;point
en_2507	illusions	magic;conjuring trick;thaumaturgy;magic trick;legerdemain;deception;trick;conjuration;illusion / delusion;hallucination
en_2508	slide	playground slide;sliding board / side
en_2509	stop	halt / discontinue;give up;cease;lay off;quit
en_2510	haven	seaport;harbour;harbor / Shangri-la;nirvana;promised land;Eden;paradise;heaven
en_2513	parkay	proper name / parquet floor;parquet
en_2515	mist	fog / miss
en_2516	coolly	nonchalantly;nervelessly / coolie;cooly
en_2526	brine	solution / brain;encephalon
en_2529	spouted	spout / rant;rabbit on;jabber;spout;rave;mouth off
en_2539	Psalms	Psalm / thenar;palm
en_2542	cue	cue stick;pool stick;pool cue / hint;clue
en_2544	algorithm	algorithmic rule;algorithmic program / musical rhythm;beat;rhythm
en_2545	bugged	tease;bug;pester;beleaguer;badger / glitch;bug
en_2554	nursing	nurse / breastfeed;nurse;suck;lactate;give suck;wet-nurse;suckle
en_2555	grounded	found;ground;establish;base / ground
en_2556	piously	devoutly / pi
en_2559	hedges	hedgerow;hedge / border;edge
en_2560	batty	daft;crackers;balmy;haywire;barmy;fruity;kooky;cracked;bats;bonkers;loony;loopy;nuts;whacky;nutty;kookie;dotty;round the bend;buggy;loco;wacky;around the bend / bat
en_2569	sagely	wisely / sage
en_2576	Will	testament / proper name
en_2579	turn	modify;change;alter / move
en_2582	c	alphabetic character;letter;letter of the alphabet / sea
en_2585	Twix	proper name / magic;conjuring trick;thaumaturgy;magic trick;legerdemain;deception;trick;conjuration;illusion
en_2592	develops	develop / grow;break;get;recrudesce;develop;produce;acquire
en_2595	urn	vase / bring in;realise;pull in;take in;earn;clear;garner;make;win;gain;realize
en_2596	chemistry	chemical science / interpersonal chemistry;alchemy
en_2597	Mane	hair / principal;chief;main;primary;master
en_2604	falling	rift;breach;severance;break;falling out;rupture / fall
en_2605	razing	take down;rase;level;pull down;raze;dismantle;tear down / rear;raise;set up;put up;erect
en_2608	phlox	herbaceous plant;herb / flock;fold
en_2609	mass	fundamental measure;physical property;fundamental quantity / religious ritual;religious ceremony
en_2611	synergy	synergism / wickedness;sinfulness;sinning;sin
en_2616	quart	Imperial capacity unit;United States liquid unit;British capacity unit / judicature;court of law;court of justice;law court;lawcourt;court;tribunal
en_2622	single	individual / unmarried
en_2626	needling	goad;needle / needle
en_2631	argument	statement / parameter
en_2635	phased	phase / faze;enervate;unnerve;unsettle
en_2636	Rob	steal;rip off;rip / proper name
en_2639	Shelly	proper name / shield;carapace;shell;cuticle
en_2641	bust	skint;stony-broke;broke;stone-broke / female chest
en_2655	puckishly	impishly / hockey puck;puck
en_2658	hobbit	imaginary creature;imaginary being / habit;use
en_2659	dirty	unclean;soiled / shoddy;sordid
en_2669	patience	longanimity;forbearance / patient
en_2676	point	significance;import;meaning;signification / tip;peak
en_2684	grapevine	pipeline;word of mouth / grape vine;grape
en_2689	Grace	state of grace;saving grace / gray;greyness;grayness;grey
en_2690	cue	actor's line;speech;words / cue stick;pool stick;pool cue
en_2692	waist	waistline / waste;waste matter;waste product;waste material
en_2697	steal	steal away;slip away;sneak away;sneak out;sneak off / rip off;rip
en_2699	blow	explode;blow up;set off;detonate / inflate;blow up
en_2703	Sherry	fortified wine / proper name
en_2709	balls	ball / ball;egg;ballock;testis;testicle;bollock;orchis;nut
en_2710	wait	waiting / weightiness;weight
en_2714	pictured	image;fancy;see;figure;visualize;visualise;project;envision;picture / depict;show;render;picture
en_2716	pinch	difficulty / trauma;harm;injury;hurt
en_2720	gravitated	gravitate / gravitate
en_2721	doe	placental mammal;placental;eutherian mammal;eutherian / bread;cabbage;lucre;dinero;simoleons;scratch;lettuce;boodle;lolly;gelt;moolah;shekels;loot;clams;pelf;kale;sugar;dough;wampum
en_2727	caustically	vitriolically / corrosive;vitriolic;mordant;caustic;erosive
en_2732	shellfish	seafood / selfish
en_2733	minstrel	poet-singer;troubadour;folk singer;jongleur / catamenial;menstrual
en_2739	infractions	infraction;misdemeanour;misdemeanor;violation;infringement / fraction
en_2740	flake	snowflake / geek;eccentric person;oddball;eccentric
en_2745	raven	Corvus corax / rant;rabbit on;jabber;spout;rave;mouth off
en_2751	periodically	sporadically / periodical
en_2755	sale	sales event;cut-rate sale / navigate;sail;voyage
en_2757	point	percentage point;decimal point / significance;import;aim;meaning;signification;object;objective;target
en_2762	credit	recognition / assets
en_2764	dirt	scandal;malicious gossip / soil
en_2765	issues	number;issue / issue
en_2766	peanuts	groundnut;monkey nut;goober pea;peanut;goober;earthnut / amount;amount of money;sum;sum of money
en_2768	slowly	slow;tardily;easy / blackthorn;sloe;Prunus spinosa
en_2775	pawn	pledge / chessman;chess piece
en_2779	stand	stand up / brook;suffer;stick out;digest;put up;stomach;bear;endure;abide;support;tolerate
en_2783	circulation	count / organic phenomenon
en_2787	Sin	transgress;trespass / grin
en_2790	stand	stand up / brook;suffer;stick out;digest;put up;stomach;bear;endure;abide;support;tolerate
en_2793	jam	preserves;preserve;conserve;conserves / hole;fix;mess;muddle;kettle of fish;pickle
en_2795	aloud	loud;loudly / allow;permit;let;countenance
en_2797	keel	keel over / beam
en_2803	bored	blase;bore;tire / board
en_2806	sale	sales event;cut-rate sale / sail
en_2808	deliverer	saviour;rescuer;savior / deliveryman;delivery boy
en_2809	ear	receptor;sense organ;sensory receptor / capitulum;spike
en_2811	case	container / argument;statement
en_2812	hit	striking;hitting / smasher;bang;strike;smash
en_2817	locked	lock / lock up
en_2823	cinch	duck soup;walkover;piece of cake;pushover;breeze;picnic;child's play;snap / girth
en_2827	franc	monetary unit / frank;plainspoken;straight-from-the-shoulder;outspoken;candid;blunt;forthright;point-blank;free-spoken
en_2833	fed	disgusted;sick of;tired of;sick;fed up / feed;give
en_2835	poring	pore;center;focus;centre;rivet;concentrate / rain cats and dogs;rain buckets;stream;pour;pelt
en_2841	drop	doze off;flake out;dope off;drift off;drowse off;nod off;fall asleep;drop off / move;displace
en_2843	dirk	dagger;sticker / sinister;black;dark
en_2844	fowl	bird / foul;filthy;smutty;nasty;cruddy
en_2847	booming	thriving;flourishing;prospering;roaring;prosperous;palmy / boom;din
en_2848	Sue	process;action;litigate / proper name
en_2854	offal	organs;variety meat / abominable;awful;fearsome;dread;fearful;dreaded;horrific;unspeakable;direful;dire;dreadful;frightening;atrocious;painful;horrendous;terrible;nasty
en_2856	keep	celebrate;observe / hold on
en_2857	dole	pogey;pogy / proper name
en_2861	hostel	auberge;inn;lodge;hostelry / hostile
en_2867	feints	feint / deliquium;swoon;syncope;faint
en_2873	wick	taper / week;workweek;calendar week;hebdomad
en_2874	spent	spend / fatigued;worn out;dog-tired;exhausted;worn-out;played out;washed-out;fagged;gone
en_2875	deer	cervid / dearest;love;honey;dear;beloved
en_2876	exorcises	exorcize;exorcise / work out;exercise
en_2877	cotton	material;fabric;textile;cloth / catch on
en_2883	staring	gaze;stare / stair;step
en_2887	point	end;terminal / Rubicon;point of no return
en_2888	drought	drouth / doubt
en_2890	relief	assuagement;alleviation / sculptural relief;embossment;rilievo;relievo
en_2899	draw	tie;standoff / delineate;trace;line;describe
en_2902	Clay	dirt;soil / proper name
en_2921	return	income tax return;tax return / homecoming
en_2935	drive	ride / driving
en_2937	Marx	Karl Marx / score;grade;mark
en_2942	lovingly	fondly / love
en_2944	Gil	proper name / gill;branchia
en_2945	census	nose count;nosecount / sensory faculty;sensation;sentience;sense;sentiency
en_2946	Grass	green goddess;sens;pot;sess;gage;smoke;weed;locoweed;skunk;Mary Jane;dope / graminaceous plant;gramineous plant
en_2948	exhausted	exhaust fumes;exhaust;fumes / wash up;tucker;exhaust;beat;tucker out
en_2951	undertaking	task;project;labor / trade;craft
en_2952	sagely	wisely / sage
en_2957	spell	write / import
en_2960	turn	surface;come out;show up;come on;turn up / fold;turn up;fold up
en_2964	scrambled	scramble / beat;scramble
en_2966	curiously	inquisitively;interrogatively / Marya Sklodowska;Madame Curie;Curie;Marie Curie
en_2977	fell	fall for / fall
en_2980	jeans	denim;blue jeans / gene;cistron;factor
en_3003	Finnish	Suomi / culture;refinement;finish;polish;cultivation
en_3005	hamstring	hamstring tendon / jambon;gammon;ham
en_3007	register	cash register / record
en_3008	sweeping	sweep;broom / sweep
en_3012	flying	fly / fly
en_3017	roomers	roomer;lodger;boarder / rumor;hearsay;rumour
en_3018	braid	pleach / fade out;fade;languish;dissolve;fade away;wither
en_3023	whine	whimper / vino;wine
en_3025	phrased	phrase;formulate;articulate;word;give voice / phase out
en_3026	web	WWW;World Wide Web / membrane;tissue layer
en_3030	butter	dairy product;solid food;food / better
en_3031	chard	leaf beet;spinach beet;Beta vulgaris cicla;chard plant;Swiss chard / sear;char;blacken;scorch
en_3035	verse	poesy;rhyme;poetry / worse
en_3038	phase	synchronise;sync;synchronize / fade out;fade;languish;dissolve;fade away;wither
en_3041	down	down feather / dispirited;blue;low;low-spirited;downcast;gloomy;depressed;down in the mouth;grim;downhearted
en_3043	whey	milk whey / path;means;agency;way of life;way
en_3045	spark	fragment / sparkle;twinkle;light
en_3047	bazaar	fair / freaky;outre;bizarre;gonzo;flaky;off-the-wall;flakey;freakish;eccentric;outlandish
en_3048	posture	carriage;bearing;position;attitude / ley;graze;lea;range;pastureland;pasture;grazing land;crop;browse
en_3050	pasta	alimentary paste / past
en_3051	dive	plunge;plunk / submerge;submerse
en_3054	trace	vestige;shadow;tincture / tracing
en_3055	fruiting	fruit / shooting;shot
en_3056	addresses	computer address;reference;address / address
en_3060	professed	confess;profess;concede;pretend / professor;prof
en_3068	yaw	cut;curve;trend;sheer;swerve;veer;slue;slew / yore
en_3082	sucked	suck / suck;blow
en_3090	two	II;2;deuce / to a fault;too;overly;excessively
en_3092	cox	coxswain / rooster;cock
en_3101	Mary	proper name / tie;splice;wed;marry
en_3107	geared	prepare;set;fix;ready;set up;gear up / gear mechanism;gear
en_3108	exhausted	wash up;tucker;exhaust;beat;tucker out / exhaust fumes;exhaust;fumes
en_3112	tired	disgusted;sick of;tired of;sick;fed up / fatigue;wear out;weary;fag out;tire out;wear;jade;outwear;fag;tire;wear upon;wear down
en_3122	lairs	lair;den / layer
en_3123	eight	eighter from Decatur;eighter;ogdoad;octonary;octet;8;octad;VIII / eat
en_3125	volume	mass;bulk / intensity;loudness
en_3130	swept	sweep off;sweep away / sweep;broom
en_3131	combing	comb / ransack;comb
en_3133	revealing	telling;telltale / reveal;bring out;unveil
en_3140	breaks	respite;recess;break;interruption;intermission;time out;pause;suspension / brake
en_3142	faults	fault;demerit / faulting;break;geological fault;shift;fault;fracture
en_3145	change	alteration;modification / hard cash;cash;hard currency
en_3151	chimed	put in;chisel in;butt in;barge in;cut in;break in;chime in / chime
en_3152	plant	set / engraft;imbed;embed;implant
en_3154	knotty	snarly;snarled / naughty
en_3155	gorges	gorge / gorgeous
en_3160	clammed	close up;belt up;dummy up;be quiet;button up;clam up;shut up;keep mum / clam
en_3164	part	give up;dispense with;part with;spare / parting
en_3166	multiply	cipher;compute;figure;work out;cypher;calculate;reckon / reproduce;procreate
en_3167	outlet	sales outlet;mercantile establishment;retail store / wall plug;electric receptacle;wall socket;electric outlet;electrical outlet
en_3169	peace	serenity;repose;peacefulness;ataraxis;peace of mind;heartsease / piece;part
en_3171	foundation	relation / understructure;fundament;groundwork;foot;substructure;base
en_3175	chic	voguish;smart / sheikh;Arab chief;sheik;tribal sheikh;tribal sheik
en_3177	Dean	academic administrator / proper name
en_3178	C	programming language;programing language / see
en_3182	principals	principal;head;school principal;head teacher / principle
en_3185	Cary	proper name / carry
en_3186	run	zip;travel rapidly;hurry;speed / campaign
en_3188	cuckoo	cuculiform bird / twat;goose;zany;fathead;goofball;bozo;jackass;goof
en_3192	figures	figure;shape;soma;anatomy;physique;human body;chassis;form;build;bod;physical body;material body;flesh;frame / figure
en_3201	Sundays	Lord's Day;Sunday;Dominicus;Sun / sundae;ice-cream sundae
en_3203	indentured	bound;apprenticed;articled / dental plate;plate;denture
en_3206	canvas	cover / poll;canvass
en_3207	sphincter	anatomical sphincter;sphincter muscle / proper name
en_3208	pit	pit of the stomach;epigastric fossa / peach pit;endocarp;stone
en_3209	whey	milk whey / path;way of life;way
en_3211	Corfu	proper name / curfew
en_3215	pumped	pump / pump
en_3224	stoned	lapidate;stone / hopped-up
en_3229	combination	sequence / unit;social unit
en_3237	sum	amount;total / sun;Sun
en_3241	grind	plodding;drudgery;donkeywork / shape;form;work;forge;mold;mould
en_3248	mow	cut down / more
en_3249	gift	acquisition / natural endowment;talent;endowment
en_3252	fuming	fume / fume;smoke
en_3255	drills	drill / practice;practice session;exercise;recitation;drill
en_3260	recede	retreat;pull back;retire;move back;fall behind;draw back;drop off;pull away;fall back;withdraw / reseed
en_3261	Frank	frankfurter;hotdog;wienerwurst;weenie;hot dog;dog;wiener / proper name
en_3263	wade	walk / fade out;fade;languish;dissolve;fade away;wither
en_3269	bazaar	bazar / freaky;outre;bizarre;gonzo;flaky;off-the-wall;flakey;freakish;eccentric;outlandish
en_3270	bored	blase;bore;tire / board
en_3272	mythed	myth / miss
en_3276	signs	sign;mark / signboard;sign
en_3280	pull	draw away;draw off;pull off / negociate;bring off;carry off;pull off;manage
en_3287	gecko	lizard / replication;sound reflection;echo;reverberation
en_3298	staff	force;personnel / stick
en_3301	grime	grease;grunge;filth;dirt;soil;stain / criminal offense;criminal offence;crime;law-breaking
en_3306	mail	message / chain armor;chain armour;chain mail;ring mail;ring armour;ring armor
en_3308	mourning	lamentation / morning time;forenoon;morn;morning
en_3309	Mass	Bay State;Mass.;MA;Massachusetts;Old Colony / religious ritual;religious ceremony
en_3313	Harley	proper name / barely;scarcely;hardly;scarce
en_3314	Carol	Christmas carol / proper name
en_3316	spark	electric discharge;arc;discharge;electric arc / sparkle;twinkle;light
en_3317	wrote	write / rote;rote learning
en_3320	fluke	good fortune;good luck / tail
en_3327	plugging	peg away;slog;keep one's nose to the grindstone;keep one's shoulder to the wheel;plug away / plug
en_3330	number	company / figure;Avogadro number;Avogadro's number
en_3334	role	purpose;use;function / roll;bun
en_3336	wife	married woman / living;aliveness;life;animation
en_3343	Warranted	warrant / warrant
en_3350	sturgeon	ganoid fish;ganoid / surgeon;operating surgeon;sawbones
en_3351	chimed	put in;chisel in;butt in;barge in;cut in;break in;chime in / chime
en_3357	queue	waiting line / cue;cue stick;pool stick;pool cue
en_3361	mane	hair / principal;chief;main;primary;master
en_3365	take	get hold of / take in;have;consume;ingest
en_3366	peppered	pepper / pepper;pelt
en_3370	neigh	whinny;nicker;whicker / nay
en_3371	stern	after part;poop;tail;quarter / austere
en_3373	bowled	upset;knock over;tip over;tump over;overturn;turn over;bowl over / bowl
en_3375	Tellie	proper name / evidence;tell
en_3378	rectified	rectify;remediate;repair;amend;remedy / rectum
en_3383	cooed	coo / takeover;coup;coup d'etat;putsch
en_3385	appreciatively	gratefully / apprise;revalue;appreciate;apprize
en_3387	prior	anterior / superior
en_3388	sheer	right-down;out-and-out;absolute;rank;downright / shear
en_3389	patients	patient / longanimity;patience;forbearance
en_3393	ghost	psyche;soul / move;locomote;go;travel
en_3396	jerk	dork / saccade;jerking;jolt
en_3397	hives	urticaria;urtication;nettle rash / hive;beehive
en_3407	heir	inheritor;heritor / hair
en_3409	promised	assure;promise / promenade;prom
