id_en	text_en	text_clean	manual_location	manual_type	manual_alternative	generated_location	generated_type	generated_alternative	phrase_en
en_297	"When they told him that his drum couldn't be fixed, it didn't resonate very well."	"When they told him that his drum couldn't be fixed, it didn't resonate very well."	resonate	homographic	resonate	resonate	homographic	echo emotionally	resonate well
en_2977	"Be true to your teeth, or they will be false to you."	"Be true to your teeth, or they will be false to you."	false	homographic	false	FALSE	homographic	artificial	true to your teeth
en_2980	Leftover spaghetti is pasta its prime.	Leftover spaghetti is pasta its prime.	pasta	homophonic	past	pasta	homophonic	past	past its prime
en_2983	"Tailors enjoy hanging out in internet fora, as they are full of threads."	"Tailors enjoy hanging out in internet fora, as they are full of threads."	threads	homographic	threads	threads	homographic	discussions	full of threads
en_2985	"I went and saw the Hobbit, it put a Smaug look on my face."	"I went and saw the Hobbit, it put a Smaug look on my face."	smaug	homophonic	smug	Smaug	homophonic	smug	put a smug look on my face
en_2991	My name is Sherry. I'm a wine - master.	My name is Sherry. I'm a wine-master.	sherry	homographic	sherry	Sherry	homographic	wine	My name is
en_2993	The man addicted to brake fluid said he could stop any time.	The man addicted to brake fluid said he could stop any time.	stop	homographic	stop	stop	homographic	quit	could stop any time
en_3007	The cheap eye surgeon was always cutting corneas.	The cheap eye surgeon was always cutting corneas.	corneas	homophonic	corners	cutting	homographic	reducing	cutting corners
en_3016	My pet bird can predict the future. He is an omen pigeon.	My pet bird can predict the future. He is an omen pigeon.	omen	homophonic	homing	omen	homophonic	homing	omen pigeon
en_3018	Scarecrows are always garden their patch.	Scarecrows are always garden their patch.	garden	homophonic	guarding	garden	homophonic	guarding	guarding their patch
en_3034	"She was only a Electrician's daughter, but she went haywire."	"She was only a Electrician's daughter, but she went haywire."	haywire	homographic	haywire	haywire	homographic	crazy	went haywire
en_3036	Psychiatrists like Kentucky Freud Chicken.	Psychiatrists like Kentucky Freud Chicken.	freud	homophonic	fried	Freud	homophonic	fried	Kentucky Fried Chicken
en_3043	Here is how the track meet is going to run...	Here is how the track meet is going to run...	run	homographic	run	run	homographic	execute	track meet is going to run
en_3045	"I tried to record an album in a reptile shop, but there was a terrible gecko."	"I tried to record an album in a reptile shop, but there was a terrible gecko."	gecko	homophonic	echo	gecko	homophonic	echo	terrible echo
en_3048	Dentists don't like a hard day at the orifice.	Dentists don't like a hard day at the orifice.	orifice	homophonic	office	orifice	homophonic	office	hard day at the office
en_3054	The astronomer became an actor because he always wanted to visit the stars.	The astronomer became an actor because he always wanted to visit the stars.	stars	homographic	stars	stars	homographic	celebrities	visit the stars
en_3059	My name is Gail. I'm a meteorologist	My name is Gail. I'm a meteorologist	gail	homophonic	gale	Gail	homophonic	gale	
en_3062	Martians welcome. We have space for everyone.	Martians welcome. We have space for everyone.	space	homographic	space	space	homographic	room	space for everyone
en_3066	A baseball player joined the army and did the round of military bases.	A baseball player joined the army and did the round of military bases.	bases	homographic	bases	round	homographic	visit	did the round
en_3073	By yourself you're in the right. In a group you're in the throng.	By yourself you're in the right. In a group you're in the throng.	throng	homophonic	wrong	right	homographic	correct	in the right
en_3077	Salespeople selling security equipment like to see people get alarmed.	Salespeople selling security equipment like to see people get alarmed.	alarmed	homophonic	alarm	alarmed	homographic	frightened	get alarmed
en_3079	"The phone call interrupted my nap, and I never did get the rest."	"The phone call interrupted my nap, and I never did get the rest."	rest	homographic	rest	rest	homographic	remainder	get the rest
en_3081	"Comedians, the biggest joke going."	"Comedians, the biggest joke going."	joke	homographic	joke	joke	homographic	success	biggest joke going
en_3092	The obese editor started a weight redaction program.	The obese editor started a weight redaction program.	redaction	homophonic	reduction	redaction	homophonic	reduction	weight reduction program
en_3094	"OLD GUITARISTS never die, they just fret their lives away"	"Old guitarists never die, they just fret their lives away"	fret	homographic	fret	fret	homographic	worry	fret their lives away
en_3108	The inventor of the stove top was in his element.	The inventor of the stove top was in his element.	element	homographic	element	element	homographic	element	in his element
en_3117	She was only a Glaziers daughter but took great panes to please	She was only a Glaziers daughter but took great panes to please	panes	homophonic	pains	panes	homophonic	pains	great pains to please
en_3119	"For a long time, black holes were a dark secret."	"For a long time, black holes were a dark secret."	dark	homographic	dark	dark	homographic	secretive	dark secret
en_3126	He was hit on the head during a hail storm and was knocked out cold.	He was hit on the head during a hail storm and was knocked out cold.	cold	homographic	cold	hail	homophonic	hale	knocked out cold
en_3136	I bought a metronome for 20 bucks. You can't beat that price.	I bought a metronome for 20 bucks. You can't beat that price.	beat	homographic	beat	beat	homographic	surpass	can't beat that
en_314	People who make motor oil are very refined.	People who make motor oil are very refined.	refined	homographic	refined	refined	homographic	cultivated	very refined
en_3142	"When the florist was running behind in delivering the roses, he had to put the petal to the metal."	"When the florist was running behind in delivering the roses, he had to put the petal to the metal."	petal	homophonic	pedal	petal	homophonic	pedal	put the pedal to the metal
en_3156	A tangled bell ringer tolled himself off.	A tangled bell ringer tolled himself off.	tolled	homophonic	told	tolled	homophonic	told	told himself off
en_3158	"''I have to check the score on this exam again,'' Tom remarked."	"I have to check the score on this exam again, he remarked."	remarked	homographic	remarked	score	homographic	musical	check the score
en_3165	"Let's visit the tombs, said Tom, cryptically."	"Let's visit the tombs, he said, cryptically."	cryptically	homographic	cryptically	cryptically	homographic	crypt	"he said, cryptically"
en_3170	Stereo speakers are made by 'high volume' manufacturers.	Stereo speakers are made by 'high volume' manufacturers.	volume	homographic	volume	volume	homographic	quantity	high volume
en_3176	We went to the owls convention and it was a real hoot.	We went to the owls convention and it was a real hoot.	hoot	homographic	hoot	hoot	homographic	fun	a real hoot
en_3182	"OLD GRAVEDIGGERS; never die, they just spade away."	"Old gravediggers; never die, they just spade away."	spade	homophonic	fade	spade	homophonic	fade	fade away
en_3183	"He told me he could eat a 32 ounce steak, but I found that hard to swallow."	"He told me he could eat a 32 ounce steak, but I found that hard to swallow."	swallow	homographic	swallow	swallow	homographic	believe	hard to swallow
en_3184	"OLD PROGRAMMERS never die, they just move to new addresses."	"Old programmers never die, they just move to new addresses."	addresses	homographic	addresses	addresses	homographic	locations	move to new addresses
en_3189	If you want a metal dog leash go to a chain store.	If you want a metal dog leash go to a chain store.	chain	homographic	chain	chain	homographic	retail	chain store
en_3195	"My stereo's half - fixed, said Tom monotonously."	"My stereo's half-fixed, he said monotonously."	monotonously	homophonic	monotone	half	homophonic	half-assed	half-fixed
en_32	A person who would make a banking joke is of no account.	A person who would make a banking joke is of no account.	account	homographic	account	account	homographic	importance	of no account
en_3203	A group of singers wore coral necklaces.	A group of singers wore coral necklaces.	coral	homophonic	choral	coral	homophonic	choral	group of singers
en_3209	"''A dog bit me,'' said Tom rabidly."	"A dog bit me, he said rabidly."	rabidly	homophonic	rabid	rabidly	homophonic	rapidly	he said rapidly
en_3223	The landscaper thought gardening magazines were fun to leaf through.	The landscaper thought gardening magazines were fun to leaf through.	leaf	homographic	leaf	leaf	homographic	look	leaf through
en_3226	A gardener who moved back to his home town rediscovered his roots.	A gardener who moved back to his home town rediscovered his roots.	roots	homographic	roots	roots	homographic	ancestry	rediscovered his roots
en_3233	Finding all possible logical relations between a finite collection of sets is not a matter of If but Venn.	Finding all possible logical relations between a finite collection of sets is not a matter of If but Venn.	venn	homophonic	when	Venn	homophonic	when	a matter of when
en_3245	"She was only a Telephone operator's daughter, but she sure had good connections."	"She was only a Telephone operator's daughter, but she sure had good connections."	connections	homographic	connections	connections	homographic	relationships	had good connections
en_3249	Mr. Coffee returns from Soviet Russia: ''I have seen the future and it perks''	"Mr. Coffee returns from Soviet Russia: ""I have seen the future and it perks"""	perks	homophonic	works	perks	homophonic	works	I have seen the future and it works
en_3251	There was a lot of equestrian paraphernalia at the bridle shower.	There was a lot of equestrian paraphernalia at the bridle shower.	bridle	homophonic	bridal	bridle	homophonic	bridal	bridal shower
en_3256	The ice at the rink has many ruts. I think the maintenance crew is slipping up.	The ice at the rink has many ruts. I think the maintenance crew is slipping up.	slipping	homographic	slipping	slipping	homographic	making a mistake	slipping up
en_3258	"Even though the well was a mystery to her, she didn't want to get to the bottom of it."	"Even though the well was a mystery to her, she didn't want to get to the bottom of it."	bottom	homographic	bottom	bottom	homographic	understand	get to the bottom
en_3261	That new mystery novel has a killer start to it.	That new mystery novel has a killer start to it.	killer	homographic	killer	killer	homographic	excellent	killer start
en_327	When Socrates needed to buy food he went to the grocery stoa.	When Socrates needed to buy food he went to the grocery stoa.	stoa	homophonic	store	stoa	homophonic	store	grocery store
en_3274	Many people need to learn to be happy with the State they are in.	Many people need to learn to be happy with the State they are in.	state	homographic	state	State	homographic	state	with the state they are in
en_3282	"This is a good bra, she said upliftingly."	"This is a good bra, she said upliftingly."	upliftingly	homographic	upliftingly	upliftingly	homographic	uplifting	uplifting support
en_3283	Two brothers fought over some sheet music but their mother wanted to keep the piece.	Two brothers fought over some sheet music but their mother wanted to keep the piece.	piece	homophonic	peace	piece	homophonic	peace	keep the peace
en_3284	A scientist doing a large experiment with liquid chemicals was trying to solve a problem when he fell in and became part of the solution.	A scientist doing a large experiment with liquid chemicals was trying to solve a problem when he fell in and became part of the solution.	solution	homographic	solution	solution	homographic	answer	part of the solution
en_3286	The Keystone Kops were frequently criticized for excessive use of farce.	The Keystone Kops were frequently criticized for excessive use of farce.	farce	homophonic	force	Kops	homophonic	cops	excessive use of force
en_3291	Have you ever been whitewater rafting? Tom asked rapidly.	Have you ever been whitewater rafting? he asked rapidly.	rapidly	homographic	rapidly	rapidly	homographic	rapid	whitewater rafting
en_3301	"''I prefer trout to salmon,'' Tom said officiously."	"I prefer trout to salmon, he said officiously."	officiously	homophonic	fish	officiously	homophonic	officially	he said
en_331	Sellers of dried grapes are always raisin awareness.	Sellers of dried grapes are always raisin awareness.	raisin	homophonic	raising	raisin	homophonic	raising	raising awareness
en_3327	Santa goes down the chimney because it soots him.	Santa goes down the chimney because it soots him.	soots	homophonic	suits	soots	homophonic	suits	suits him
en_3328	It's amazing what two or more sinners can achieve together with synergy.	It's amazing what two or more sinners can achieve together with synergy.	synergy	homophonic	sinergy	sinners	homophonic	cylinders	achieve together with synergy
en_3344	"I'm singing well these days, Tom intoned."	"I'm singing well these days, he intoned."	intoned	homophonic	in tone	well	homographic	satisfactorily	singing well
en_3345	"These are my parents, said Einstein relatively"	"These are my parents, said Einstein relatively"	relatively	homographic	relatively	relatively	homographic	relativity	said Einstein relatively
en_3346	Burning too much incense in a rented room could make the owner incensed.	Burning too much incense in a rented room could make the owner incensed.	incensed	homophonic	incense	incensed	homophonic	angry	make the owner incensed
en_3347	"I hate sweet potatoes, Tom yammered."	"I hate sweet potatoes, he yammered."	yammered	homophonic	yam	yammered	homophonic	yam	yammered
en_3349	He couldn't decide whether to accept a job in mattress sales so he decided to sleep on it.	He couldn't decide whether to accept a job in mattress sales so he decided to sleep on it.	sleep	homographic	sleep	sleep	homographic	consider	sleep on it
en_3354	Those who find bargain antiques like to junk for joy.	Those who find bargain antiques like to junk for joy.	junk	homophonic	jump	junk	homophonic	jump	jump for joy
en_336	"OLD MATH PROFESSORS never die, they just use strange expressions."	"Old math professors never die, they just use strange expressions."	expressions	homographic	expressions	expressions	homographic	phrases	never die
en_337	Our Boy Scouts' knot - tying class went off without a hitch.	Our Boy Scouts' knot-tying class went off without a hitch.	hitch	homographic	hitch	hitch	homographic	problem	went off without a hitch
en_3383	"OLD PLANETS never die, they just lose their attraction."	"Old planets never die, they just lose their attraction."	attraction	homographic	attraction	attraction	homographic	gravitational_pull	lose their attraction
en_3387	Two florists got married. It was an arranged marriage.	Two florists got married. It was an arranged marriage.	arranged	homographic	arranged	arranged	homophonic	a ranged	arranged marriage
en_3388	A musician went to hospital after playing too many accidentals.	A musician went to hospital after playing too many accidentals.	accidentals	homophonic	accident	accidentals	homophonic	accidents	went to hospital
en_339	''Angel dust? Me? Never touch it!'' Tom snorted.	Angel dust? Me? Never touch it! he snorted.	snorted	homographic	snorted	snorted	homographic	inhaled	he snorted
en_3396	The careless pyromaniac made an ash of himself.	The careless pyromaniac made an ash of himself.	ash	homophonic	ass	ash	homophonic	ass	made an ass of himself
en_3399	Fashionable women in Indiana all wear designer Hoosiery.	Fashionable women in Indiana all wear designer Hoosiery.	hoosiery	homophonic	hosiery	Hoosiery	homophonic	hosiery	designer hosiery
en_3401	OLD BASEBALLS never die they just get pitched.	Old baseballs never die they just get pitched.	pitched	homographic	pitched	pitched	homographic	thrown	pitched an idea
en_3422	"During the meeting about earthquakes, there were several motions."	"During the meeting about earthquakes, there were several motions."	motions	homographic	motions	motions	homographic	movements	several motions
en_3425	"Bring your spirtual Marshmellows, our pastor is on fire!"	"Bring your spirtual Marshmellows, our pastor is on fire!"	fire	homographic	fire	fire	homographic	enthusiastic	on fire
en_3439	She was only an Apple - grower's daughter but the men said she was delicious.	She was only an Apple-grower's daughter but the men said she was delicious.	delicious	homographic	delicious	delicious	homographic	appealing	she was delicious
en_3443	Time flies when you ’ re following the son	Time flies when you ’ re following the son	son	homophonic	sun	son	homophonic	sun	time flies when you're having fun
en_3445	I keep reading 'The Lord of the Rings' over and over. I guess it's just force of hobbit.	I keep reading 'The Lord of the Rings' over and over. I guess it's just force of hobbit.	hobbit	homophonic	habit	hobbit	homophonic	habit	force of habit
en_3450	The fertiliser business is a growing industry.	The fertiliser business is a growing industry.	growing	homographic	growing	growing	homographic	increasing	growing industry
en_3451	A cat ate some cheese and waited for a mouse with baited breath.	A cat ate some cheese and waited for a mouse with baited breath.	baited	homophonic	bated	baited	homophonic	bated	bated breath
en_3452	"''I compliment the company that makes the Macintosh computer,'' said Tom applauding."	"I compliment the company that makes the Macintosh computer, he said applauding."	applauding	homophonic	apple	applauding	homophonic	Apple	applauding
en_3453	Hotel owners usually have suite dreams.	Hotel owners usually have suite dreams.	suite	homophonic	sweet	suite	homophonic	sweet	sweet dreams
en_3454	Insulting an East Indian chef will bring you bad Korma.	Insulting an East Indian chef will bring you bad Korma.	Korma	homophonic	Karma	Korma	homophonic	karma	bring you bad karma
en_3455	My name is Harry. I'm a barber.	My name is Harry. I'm a barber.	harry	homophonic	hairy	Harry	homophonic	hairy	
en_3462	"When you're wearing a watch on an airplane, time flies."	"When you're wearing a watch on an airplane, time flies."	flies	homographic	flies	flies	homographic	passes quickly	time flies
en_3467	"When the proposal was made to locate the governor's mansion in Albany, New Yorkers said,'' That's a capitol idea.''"	"When the proposal was made to locate the governor's mansion in Albany, New Yorkers said,"" That's a capitol idea."""	capitol	homophonic	capital	capitol	homophonic	capital	a capital idea
en_3470	"''I won't finish in fifth place,'' Tom held forth."	"I won't finish in fifth place, he held forth."	forth	homophonic	fourth	forth	homophonic	fourth	finish in fifth place
en_3494	"Some commands given by the army are specific, others are General."	"Some commands given by the army are specific, others are General."	General	homographic	general	General	homographic	officer	commands given by the army
en_3495	"If you sing while playing baseball, you won't get a good pitch."	"If you sing while playing baseball, you won't get a good pitch."	pitch	homographic	pitch	pitch	homographic	tone	get a good pitch
en_3497	"The telemarketer asked me if I read magazines at all and I replied that I did, periodically."	"The telemarketer asked me if I read magazines at all and I replied that I did, periodically."	periodically	homophonic	periodical	periodically	homographic	occasionally	read magazines
en_3498	"''The seesaw is upside down,'' said Tom saucily."	"The seesaw is upside down, he said saucily."	saucily	homophonic	sawsily	saucily	homophonic	saucy	upside down
en_3499	Two wrongs can make a riot.	Two wrongs can make a riot.	riot	homophonic	right	riot	homophonic	right	Two wrongs don't make a right
en_3507	A baseball player can sell himself to a new team if he has a good pitch.	A baseball player can sell himself to a new team if he has a good pitch.	pitch	homographic	pitch	pitch	homographic	sales	sell himself
en_3519	OLD HORSE STABLES do die but they can always be barn again	Old horse stables do die but they can always be barn again	barn	homophonic	born	barn	homophonic	born	born again
en_3525	People have many misconceptions about pregnancy.	People have many misconceptions about pregnancy.	misconceptions	homophonic	conception	misconceptions	homophonic	misconceptions	many misconceptions
en_3533	Some burglars are always looking for windows of opportunity.	Some burglars are always looking for windows of opportunity.	windows	homographic	windows	windows	homographic	opportunities	windows of opportunity
en_3538	"''I know what herb would taste nice with this,'' said Tom sagely."	"I know what herb would taste nice with this, he said sagely."	sagely	homophonic	sage	sagely	homophonic	sage	said sagely
en_3554	The trapeze artist had to buy his own safety equipment. Every Friday he drew his net wages.	The trapeze artist had to buy his own safety equipment. Every Friday he drew his net wages.	net	homographic	net	net	homographic	safety	net wages
en_3559	You should lock up your wine in a cabernet.	You should lock up your wine in a cabernet.	cabernet	homophonic	cabinet	cabernet	homophonic	cabinet	lock up your wine
en_3570	Luggage salespeople have to make a good case for you to buy.	Luggage salespeople have to make a good case for you to buy.	case	homographic	case	case	homographic	argument	make a good case
en_359	"When asked by a Health Department official to describe the mess he saw on the slaughterhouse floor, the USDA inspector replied,'' It was just offal.''"	"When asked by a Health Department official to describe the mess he saw on the slaughterhouse floor, the USDA inspector replied,"" It was just offal."""	offal	homophonic	awful	offal	homophonic	awful	just awful
en_3594	The body builder worried too much about the lifting contest and his trainer concluded that the mind is a terrible thing to weights.	The body builder worried too much about the lifting contest and his trainer concluded that the mind is a terrible thing to weights.	weights	homophonic	waste	weights	homophonic	waste	mind is a terrible thing to waste
en_3598	"Chimney sweep's daughter, but she soots me fine."	"Chimney sweep's daughter, but she soots me fine."	soots	homophonic	suits	soots	homophonic	suits	suits me fine
en_36	A husband who thinks he is as solid as a rock may have a wife who wishes he was a little bolder.	A husband who thinks he is as solid as a rock may have a wife who wishes he was a little bolder.	bolder	homophonic	boulder	bolder	homophonic	boulder	solid as a rock
en_3613	"''I bought myself fifty hamburgers and I've only ten left,'' said Tom with fortitude."	"I bought myself fifty hamburgers and I've only ten left, he said with fortitude."	fortitude	homophonic	forty-tude	fortitude	homophonic	forty-two	I've only ten left
en_362	"I'm a lion hunter, said Tom, pridefully"	"I'm a lion hunter, he said, pridefully"	pridefully	homophonic	pride	pridefully	homophonic	pride	lion pride
en_3621	I just got back from a statistical probability conference. It was average.	I just got back from a statistical probability conference. It was average.	average	homographic	average	average	homographic	typical	it was average
en_3626	"Old colanders never die, they just can't take the strain anymore."	"Old colanders never die, they just can't take the strain anymore."	strain	homographic	strain	strain	homographic	difficulty	take the strain
en_3629	He took a nail to the volleyball game because he wanted to spike it.	He took a nail to the volleyball game because he wanted to spike it.	spike	homographic	spike	spike	homographic	nail	spike it
en_3633	When a college dormitory exploded a lot of roomers were flying.	When a college dormitory exploded a lot of roomers were flying.	roomers	homophonic	rumors	roomers	homophonic	rumors	rumors were flying
en_3638	"I've been listening to the Brandenberg Concertos, Tom barked."	"I've been listening to the Brandenberg Concertos, he barked."	barked	homophonic	Bach	barked	homophonic	Bach	he barked
en_3643	"During a recent trip to Qatar, Bill Clinton went to McDonald's and ordered fries with a sheik."	"During a recent trip to Qatar, Bill Clinton went to McDonald's and ordered fries with a sheik."	sheik	homophonic	shake	sheik	homophonic	shake	fries with a shake
en_3648	Wal - Mart Is Not the Only Saving Place. Come On In.	Wal-Mart Is Not the Only Saving Place. Come On In.	saving	homographic	saving	Saving	homographic	Safe	Safe place
en_3650	''How do you start a model - T Ford without a battery?'' asked Tom crankily.	How do you start a model-T Ford without a battery? he asked crankily.	crankily	homographic	crankily	crankily	homographic	crank	crank the engine
en_366	"When asked by a passenger how high he would get, the pilot replied, 'I don't do drugs.'"	"When asked by a passenger how high he would get, the pilot replied, 'I don't do drugs.'"	high	homographic	high	high	homographic	intoxicated	how high he would get
en_3670	A drummer can cymbalize the enthusiasm of a band.	A drummer can cymbalize the enthusiasm of a band.	cymbalize	homophonic	symbolize	cymbalize	homophonic	symbolize	symbolize the enthusiasm
en_3674	The geologist went to the doctor because he had a loss of apatite.	The geologist went to the doctor because he had a loss of apatite.	apatite	homophonic	appetite	apatite	homophonic	appetite	loss of appetite
en_3677	She was suspected of stealing a brooch but they couldn't pin it on her.	She was suspected of stealing a brooch but they couldn't pin it on her.	pin	homographic	pin	pin	homographic	blame	pin it on
en_3678	To golf at your favorite course may require a long drive.	To golf at your favorite course may require a long drive.	drive	homographic	drive	drive	homographic	journey	long drive
en_3680	"''It's the quotient of two integers,'' said Tom rationally."	"It's the quotient of two integers, he said rationally."	rationally	homophonic	rational	rationally	homophonic	rational	said rationally
en_3681	In the office she was frantically looking for her false nails only to discover she had filed them away.	In the office she was frantically looking for her false nails only to discover she had filed them away.	filed	homographic	filed	filed	homographic	organize	filed away
en_3684	The proctologist reassured the patient that his condition could be rectified.	The proctologist reassured the patient that his condition could be rectified.	rectified	homophonic	rectum	rectified	homophonic	rectum	could be rectified
en_369	OLD WRESTLERS never die they just lose their grip.	Old wrestlers never die they just lose their grip.	grip	homographic	grip	grip	homographic	strength	lose their grip
en_37	Wilbur Wright said he'd take a flier on it.	Wilbur Wright said he'd take a flier on it.	flier	homographic	flier	flier	homographic	flyer	take a flier
en_3705	"Christians, keep the faith... but not from others!"	"Christians, keep the faith... but not from others!"	keep	homographic	keep	faith	homographic	belief	keep the faith
en_3707	Aliens can easily understand each other because their language is universal.	Aliens can easily understand each other because their language is universal.	universal	homographic	universal	universal	homographic	universe	language is universal
en_3708	An heir is someone with a descent wage.	An heir is someone with a descent wage.	descent	homophonic	decent	heir	homophonic	air	with a descent wage
en_3713	"She was only a Grape picker's daughter, but she was never Chablis dressed."	"She was only a Grape picker's daughter, but she was never Chablis dressed."	chablis	homophonic	shabbily	Chablis	homophonic	shabbily	shabbily dressed
en_3718	"'We've run out of lemons', she said bitterly."	"'We've run out of lemons', she said bitterly."	bitterly	homophonic	bitter	bitterly	homographic	harshly	bitter lemons
en_3719	I wanted to make suits but I could never measure up.	I wanted to make suits but I could never measure up.	measure	homographic	measure	measure	homographic	succeed	measure up
en_372	"If your waiting for something to turn up, try your sleeves."	"If your waiting for something to turn up, try your sleeves."	turn	homographic	turn	turn	homographic	appear	something to turn up
en_3725	"I had some back trouble, but it's all behind me now."	"I had some back trouble, but it's all behind me now."	behind	homographic	behind	behind	homographic	past	it's all behind me
en_3729	"I like Chinese detective movies, Tom chanted."	"I like Chinese detective movies, he chanted."	chanted	homophonic	chan	chanted	homophonic	channeled	detective movies
en_3730	"''I've been to a film festival in Southern France,'' said Tom cannily."	"I've been to a film festival in Southern France, he said cannily."	cannily	homophonic	Cannes	cannily	homophonic	Cannes	been to a film festival in Southern France
en_3739	"As I revived her using mouth to mouth resuscitation, in spite of my lisp, I couldn't help noticing her beautiful breaths!"	"As I revived her using mouth to mouth resuscitation, in spite of my lisp, I couldn't help noticing her beautiful breaths!"	breaths	homophonic	breasts	breaths	homophonic	breasts	beautiful breaths
en_3742	Some bankers are generous to a vault.	Some bankers are generous to a vault.	vault	homophonic	fault	vault	homographic	gymnastics	generous to a fault
en_3747	Two construction workers had a stairing contest.	Two construction workers had a stairing contest.	stairing	homophonic	staring	stairing	homophonic	staring	staring contest
en_3750	The safe was invented by a cop and a robber. It was quite a combination.	The safe was invented by a cop and a robber. It was quite a combination.	combination	homographic	combination	safe	homographic	secured container	cop and a robber
en_3756	"I'd like some Chinese food, said Tom wantonly."	"I'd like some Chinese food, he said wantonly."	wantonly	homophonic	wonton	wantonly	homophonic	wonton	some Chinese food
en_3762	He bought a donkey because he thought he might get a kick out of it.	He bought a donkey because he thought he might get a kick out of it.	kick	homographic	kick	kick	homographic	enjoyment	get a kick out of
en_3763	"Old school principals never die, they just lose their faculties."	"Old school principals never die, they just lose their faculties."	faculties	homographic	faculties	faculties	homographic	abilities	lose their faculties
en_3766	"I love cats, Tom mused."	"I love cats, he mused."	mused	homophonic	mews	mused	homophonic	meowed	he mused
en_377	Bring me a rubber band and make it snappy!	Bring me a rubber band and make it snappy!	snappy	homographic	snappy	snappy	homographic	quickly	make it snappy
en_3771	"My name is Oscar, and I'm a movie star."	"My name is Oscar, and I'm a movie star."	oscar	homographic	oscar	Oscar	homographic	award	movie star
en_3775	My name is Lute. I'm a musician.	My name is Lute. I'm a musician.	lute	homographic	lute	Lute	homophonic	Loot	My name is
en_3777	It wasn't school John disliked it was just the principal of it.	It wasn't school John disliked it was just the principal of it.	principal	homophonic	principle	principal	homophonic	principle	the principle of it
en_3778	Young women who are mathematics professors closely watch their figures.	Young women who are mathematics professors closely watch their figures.	figures	homographic	figures	figures	homographic	appearance	watch their figures
en_3780	Never lie to an x - ray technician. They can see right through you.	Never lie to an x-ray technician. They can see right through you.	see	homographic	see	see	homographic	understand	see right through you
en_3789	I couldn't figure out how to fasten my seatbelt. Then it clicked.	I couldn't figure out how to fasten my seatbelt. Then it clicked.	clicked	homographic	clicked	clicked	homographic	understood	it clicked
en_3798	Mickey Mouse gives some people Disney spells.	Mickey Mouse gives some people Disney spells.	disney	homophonic	dizzy	spells	homographic	incantations	Disney spells
en_3799	"I'm a mathematician, Tom added summarily."	"I'm a mathematician, he added summarily."	summarily	homophonic	sum	summarily	homophonic	sum	added summarily
en_3804	"When the creator of Tarzan wrote about Pellucidar and other Earth - core stories, was it Edgar Rice burrows?"	"When the creator of Tarzan wrote about Pellucidar and other Earth-core stories, was it Edgar Rice burrows?"	burrows	homophonic	Burroughs	burrows	homophonic	Burroughs	Edgar Rice Burroughs
en_3815	Retired teachers are classless.	Retired teachers are classless.	classless	homographic	classless	classless	homographic	having no social class or lacking refinement	retired teachers have no classes to teach
en_3830	When cannibals ate a missionary they got a taste of religion.	When cannibals ate a missionary they got a taste of religion.	taste	homographic	taste	taste	homographic	experience	got a taste of
en_3859	The Easter story is not a dead issue.	The Easter story is not a dead issue.	dead	homographic	dead	dead	homographic	alive	dead issue
en_3871	"She was only a Quarryman's daughter, but she took everything for granite."	"She was only a Quarryman's daughter, but she took everything for granite."	granite	homophonic	granted	granite	homophonic	granted	took for granted
en_3874	Fire! yelled Tom alarmingly.	Fire! he yelled alarmingly.	alarmingly	homophonic	alarm	Fire	homographic	dismiss	Fire him
en_3882	Tried some bear stew. It was a little grizzly.	Tried some bear stew. It was a little grizzly.	grizzly	homographic	grizzly	grizzly	homophonic	grisly	a little grizzly
en_3883	"I like marching songs, in any month."	"I like marching songs, in any month."	marching	homophonic	march	marching	homographic	March	in any month
en_3886	The fault line had a splitting headache.	The fault line had a splitting headache.	splitting	homographic	splitting	splitting	homographic	cracking	splitting headache
en_3889	The photograph that I took of the sandstorm turned out grainy.	The photograph that I took of the sandstorm turned out grainy.	grainy	homographic	grainy	grainy	homographic	grain	turned out grainy
en_389	Rabbits like their beer brewed with a lot of hops.	Rabbits like their beer brewed with a lot of hops.	hops	homographic	hops	hops	homographic	jumps	brewed with a lot of hops
en_3892	A waist is a terrible thing to mind.	A waist is a terrible thing to mind.	waist	homophonic	waste	waist	homophonic	waste	a mind is a terrible thing to waste
en_3897	The ultimate liquid measure is the supreme quart.	The ultimate liquid measure is the supreme quart.	quart	homophonic	court	quart	homophonic	court	supreme court
en_3898	A gambling gardener usually hedges his bets.	A gambling gardener usually hedges his bets.	hedges	homographic	hedges	hedges	homographic	hedges	hedges his bets
en_39	''Why is this telephone flex always tangled?'' asked Tom coyly.	Why is this telephone flex always tangled? he asked coyly.	coyly	homophonic	coil	coyly	homophonic	coily	telephone flex always tangled
en_3907	My skiing skills are really going downhill.	My skiing skills are really going downhill.	downhill	homographic	downhill	downhill	homographic	worsening	going downhill
en_3911	Dairy Queen isn't the only place with awesome Sundays: )	Dairy Queen isn't the only place with awesome Sundays.	sundays	homophonic	sundaes	Sundays	homophonic	sundaes	awesome Sundays
en_3918	"I used to do rock climbing as a youth, but I was much boulder back then."	"I used to do rock climbing as a youth, but I was much boulder back then."	boulder	homophonic	bolder	boulder	homophonic	bolder	much bolder
en_3925	Upon discovering her children playing with matches their mother was flaming mad.	Upon discovering her children playing with matches their mother was flaming mad.	flaming	homographic	flaming	flaming	homographic	angry	flaming mad
